CLASS,SUBCLASS,SUBSUBCLASS,TEXT_NAME,TEXT_TYPE,PERIOD,DIALECT,EFFECT,FOCALIZED,WEIGHT_BEFORE,WEIGHT_AFTER,DISRUPTION
mc,mc1,interrogative,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,np,8_medium,8_medium,no
mc,mc1,declarative,etxeberri_ziburukoa’s_noelac,very_close_to_literary_language,17th,navarrese-lapurdian,3_strong,np,13_heavy,3_light,no
mc,mc1,declarative,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,negation,3_light,9_medium,no
sc,sc1,complement,jesu_cristoren_evangelioa,close_to_literary_language,19th,central_basque,4_very_strong,none,5_light,7_medium,no
mc,mc2,imperative,catichima_edo_fediaren,close_to_literary_language,18th,eastern_basque,3_strong,np,4_light,11_heavy,no
mc,mc1,declarative,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,np,9_medium,0_light,no
sc,sc1,complement,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,none,3_light,16_heavy,no
sc,sc1,complement,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,none,5_light,5_light,yes
mc,mc1,declarative,euskal_ipuinak,transition_to_literary_language,19th,navarrese-lapurdian,4_very_strong,negation,4_light,0_light,yes
mc,mc1,declarative,kaniko_eta_belxitina,transition_to_literary_language,19th,eastern_basque,4_very_strong,np,11_heavy,0_light,yes
mc,mc1,declarative,nere_kantuak,transition_to_literary_language,20th,eastern_basque,3_strong,np,5_light,6_medium,no
mc,mc1,declarative,guero_i-xv,very_close_to_literary_language,17th,navarrese-lapurdian,3_strong,negation,3_light,8_medium,no
mc,mc1,declarative,lizarraga_elkanokoa’s_couplets,transition_to_literary_language,19th,high_navarrese,3_strong,negation,2_light,23_heavy,no
mc,mc1,declarative,euskal_ipuinak,transition_to_literary_language,19th,navarrese-lapurdian,4_very_strong,negation,2_light,0_light,no
mc,mc1,declarative,euskal_ipuinak,transition_to_literary_language,19th,navarrese-lapurdian,4_very_strong,np,15_heavy,0_light,yes
sc,sc1,complement,coplarien_gudua,transition_to_literary_language,19th,navarrese-lapurdian,2_regular,none,5_light,6_medium,no
sc,sc1,conditional,jesu_cristoren_evangelioa,close_to_literary_language,19th,central_basque,4_very_strong,none,5_light,13_heavy,no
sc,sc1,causal,euskal_ipuinak,transition_to_literary_language,19th,navarrese-lapurdian,4_very_strong,none,8_medium,0_light,no
sc,sc1,complement,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,none,6_medium,6_medium,yes
sc,sc1,causal,zubererazko_istorioak_ipuinak,transition_to_literary_language,20th,eastern_basque,4_very_strong,none,12_heavy,0_light,no
sc,sc2,relative,othoitce_eta_cantica_espiritualac,transition_to_literary_language,19th,eastern_basque,2_regular,none,4_light,4_light,no
sc,sc1,complement,catechismea,very_close_to_literary_language,16th,navarrese-lapurdian,3_strong,none,13_heavy,0_light,yes
mc,mc1,declarative,euscal-errijetaco_olgueeta,close_to_literary_language,19th,western_basque,4_very_strong,negation,3_light,0_light,no
sc,sc1,causal,jesu_cristoren_evangelioa,close_to_literary_language,19th,central_basque,4_very_strong,none,9_medium,0_light,yes
mc,mc1,declarative,j._christoren_evangelio_saindua_jondoni_jauniren_arauera,close_to_literary_language,18th,navarrese-lapurdian,3_strong,np,12_heavy,4_light,no
sc,sc1,conditional,etxeberri_sarakoa,close_to_oral_language,18th,navarrese-lapurdian,2_regular,none,13_heavy,7_medium,no
mc,mc1,declarative,onsa_hilceco_bidia_i-iii,close_to_literary_language,17th,eastern_basque,3_strong,np,3_light,8_medium,no
sc,sc1,conditional,lizarraga_elkanokoa’s_couplets,transition_to_literary_language,19th,high_navarrese,3_strong,none,7_medium,3_light,yes
sc,sc1,complement,tratado_de_como_se_ha_de_oyr,close_to_literary_language,17th,high_navarrese,3_strong,none,29_heavy,8_medium,no
sc,sc1,conditional,cancionero_vasco,transition_to_literary_language,19th,central_basque,3_strong,none,9_medium,0_light,no
sc,sc1,complement,le_dauphin_letters,close_to_oral_language,18th,navarrese-lapurdian,2_regular,none,12_heavy,0_light,yes
mc,mc1,declarative,mariano_mendigatxa,close_to_oral_language,20th,eastern_basque,3_strong,np,7_medium,0_light,yes
mc,mc1,declarative,le_dauphin_letters,close_to_oral_language,18th,navarrese-lapurdian,2_regular,negation,4_light,5_light,yes
mc,mc1,declarative,court_transcripts_2,transition_to_oral_language,16th,high_navarrese,1_weak,negation,10_medium,0_light,yes
mc,mc1,declarative,guero_i-xv,very_close_to_literary_language,17th,navarrese-lapurdian,3_strong,negation,11_heavy,0_light,yes
mc,mc1,declarative,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,np,8_medium,15_heavy,no
sc,sc1,complement,j._christoren_evangelio_saindua_jondoni_jauniren_arauera,close_to_literary_language,18th,navarrese-lapurdian,3_strong,none,6_medium,2_light,no
sc,sc1,complement,le_dauphin_letters,close_to_oral_language,18th,navarrese-lapurdian,2_regular,none,3_light,0_light,no
sc,sc1,complement,doctrina_christiana_ii,very_close_to_literary_language,17th,navarrese-lapurdian,3_strong,none,50_heavy,0_light,no
sc,sc1,complement,euscal-errijetaco_olgueeta,close_to_literary_language,19th,western_basque,4_very_strong,none,9_medium,0_light,yes
mc,mc2,imperative,bertso_zahar_eta_berri,transition_to_literary_language,18th,navarrese-lapurdian,2_regular,np,2_light,3_light,no
mc,mc1,declarative,oihenart’s_atsotitzak,balanced,17th,eastern_basque,1_weak,np,18_heavy,0_light,yes
mc,mc1,declarative,testamen_çaharreco,close_to_literary_language,18th,navarrese-lapurdian,4_very_strong,np,10_medium,5_light,yes
mc,mc2,declarative,christau_doctriñ_berri-ecarlea,close_to_literary_language,18th,central_basque,4_very_strong,np,12_heavy,6_medium,no
mc,mc1,declarative,peru_abarca,transition_to_literary_language,19th,western_basque,4_very_strong,negation,4_light,6_medium,no
sc,sc2,relative,lizarraga_elkanokoa’s_couplets,transition_to_literary_language,19th,high_navarrese,3_strong,none,0_light,3_light,no
sc,sc2,conditional,guero_i-xv,very_close_to_literary_language,17th,navarrese-lapurdian,3_strong,none,6_medium,7_medium,no
sc,sc2,conditional,doctrina_christiana_i,very_close_to_literary_language,17th,navarrese-lapurdian,3_strong,none,1_light,22_heavy,no
mc,mc1,declarative,linguae_vasconum_primitiae,close_to_literary_language,16th,navarrese-lapurdian,3_strong,np,6_medium,7_medium,no
mc,mc1,declarative,euskalerriko_ipuñak,transition_to_literary_language,20th,western_basque,4_very_strong,np,21_heavy,0_light,yes
sc,sc1,causal,j._christoren_evangelio_saindua_jondoni_jauniren_arauera,close_to_literary_language,18th,navarrese-lapurdian,3_strong,none,8_medium,0_light,yes
sc,sc2,relative,christau_doctriñ_berri-ecarlea,close_to_literary_language,18th,central_basque,4_very_strong,none,27_heavy,3_light,no
mc,mc1,declarative,g._d’etxart-m._ros,close_to_oral_language,17th,eastern_basque,2_regular,np,12_heavy,14_heavy,no
mc,mc1,interrogative,euskal_ipuinak,transition_to_literary_language,19th,navarrese-lapurdian,4_very_strong,negation,5_light,12_heavy,no
mc,mc1,declarative,j._christoren_evangelio_saindua_jondoni_jauniren_arauera,close_to_literary_language,18th,navarrese-lapurdian,3_strong,np,9_medium,4_light,no
sc,sc2,conditional,guero_i-xv,very_close_to_literary_language,17th,navarrese-lapurdian,3_strong,none,0_light,8_medium,no
sc,sc1,purpose,euscaldunen_eliz-cantac,transition_to_literary_language,20th,central_basque,3_strong,none,4_light,8_medium,yes
sc,sc2,relative,christau_doctriñ_berri-ecarlea,close_to_literary_language,18th,central_basque,4_very_strong,none,7_medium,2_light,no
mc,mc1,declarative,euzkadi,very_close_to_oral_language,20th,high_navarrese,2_regular,np,6_medium,0_light,no
