LANG_NAME;LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;SOURCE;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
Abun;kgr;Language isolate;Southeast Asia-Oceania;Berry & Berry (1999: 79);No;DNA;DNA
Akajeru;akj;Great Andamanese, North Andamanese-Akakede;Southeast Asia-Oceania;Abbi (2013: 255);No;DNA;DNA
Alamblak;amp;Sepik, Sepik Hill;Australia-Papua New Guinea;Bruce (1988: 27);No;DNA;DNA
Amarakaeri;amr;Harakmbut, Amarakaeri;South America;Chávez (1984: 327);No;DNA;DNA
Amdo Tibetan;adx;Sino-Tibetan, Bodic;Southeast Asia-Oceania;Dpal (2016: 530);No;DNA;DNA
//Ani;hnh;Khoe-Kwadi, Khoe;Africa;Kilian-Hatz (2008: 299);No;DNA;DNA
Anta-Komnzo-Wára-Wérè-Kémä;tci;Yam, Morehead-Maro;Australia-Papua New Guinea;Döhler (2018: 104);No;DNA;DNA
A’ou;aou;Tai-Kadai, Kadaic;Southeast Asia-Oceania;Li et al. (2014: 261);No;DNA;DNA
Apalaí;apy;Cariban, Apalaí;South America;Koehn & Koehn (1986: 75);No;DNA;DNA
Apinayé;apn;Nuclear-Macro-Je, Je;South America;Cunha de Oliveira (2005: 338);No;DNA;DNA
Araweté;awt;Tupian, Maweti-Guarani;South America;Solano (2009: 252);No;DNA;DNA
Arikapú;ark;Nuclear-Macro-Je, Jabuti;South America;Ribeiro (2008: 158);No;DNA;DNA
Awa-Cuaiquer;kwi;Barbacoan, Unclassified Barbacoan;South America;Curnow (1997: 303);No;DNA;DNA
Ayoreo;ayo;Zamucoan, Zamuco-Ayoreo;South America;Bertinetto (2009: 48);No;DNA;DNA
Bambara;bam;Mande, Western Mande;Africa;Maiga (2001: 72);No;DNA;DNA
Bambassi;myf;Blue Nile Mao, Bambassi;Africa;Ahland (2012: 341);No;DNA;DNA
Bangime;dba;Language isolate;Africa;Hantgan (2013: 315);No;DNA;DNA
Bardi;bcj;Nyulnyulan, Western Nyulnyulan;Australia-Papua New Guinea;Bowern (2012: 709-710);No;DNA;DNA
Basque;eus;Language isolate;Eurasia;Hualde & Ortiz de Urbina (2003: 562-564);Yes;No;Yes
Bauzi;bvz;Geelvink Bay, Bauzi;Australia-Papua New Guinea;Briley (1997: 85);No;DNA;DNA
Bilua;blb;Language isolate;Southeast Asia-Oceania;Obata (2003: 234);No;DNA;DNA
Bonan;peh;Mongolic-Khitan, Mongolic;Southeast Asia-Oceania;Fried (2010: 95);No;DNA;DNA
Bora;boa;Boran, Bora;South America;Thiesen & Weber (2012: 527);No;DNA;DNA
Bororo;bor;Bororoan, Bororo-Otuke;South America;Nonato (2008: 126, 131);No;DNA;DNA
Brahui;brh;Dravidian, North Dravidian;Eurasia;Andronov (2006: 103);Yes;Yes;No
Bullom So;buy;Atlantic-Congo, Mel;Africa;Childs (2011: 144);No;DNA;DNA
Burmese;mya;Sino-Tibetan, Burmo-Qiangic;Southeast Asia-Oceania;Soe (1999: 144, 160-161);No;DNA;DNA
Burushaski (Hunza, Nagar);bsk;Language isolate;Eurasia;Berger (1998: 183);No;DNA;DNA
Cao Miao;cov;Tai-Kadai, Kam-Tai;Southeast Asia-Oceania;Wu (2015: 299);No;DNA;DNA
Cavineña;cav;Pano-Tacanan, Tacanan;South America;Guillaume (2008: 107);No;DNA;DNA
Central Alaskan Yupik;esu;Eskimo-Aleut, Eskimo;North America-Mesoamerica;Miyaoka (2012: 1460);No;DNA;DNA
Central Kalapuya;kyl;Kalapuyan, Central Kalapuya;North America-Mesoamerica;Banks (2007: 27);No;DNA;DNA
Central Khmer;khm;Austroasiatic, Khmeric;Southeast Asia-Oceania;Haiman (2011: 90);No;DNA;DNA
Central Nicobarese;ncb;Austroasiatic, Nicobaric;Southeast Asia-Oceania;Man (1889: 62);Yes;Yes;Yes
Central Tunebo;tuf;Chibchan, Core Chibchan;South America;Headland (1994: 62);No;DNA;DNA
Chimariko;cid;Language isolate;North America-Mesoamerica;Jany (2009: 177);No;DNA;DNA
Chokwe;cjk;Atlantic-Congo, Volta-Congo;Africa;Martins (1990: 191);No;DNA;DNA
Chukchi;ckt;Chukotko-Kamchatkan;Eurasia;Dunn (1999: 333);No;DNA;DNA
Comaltepec Chinantec;cco;Otomanguean, Western Otomanguean;North America-Mesoamerica;Anderson (1989: 30);Yes;Yes;No
Coptic (Sahidic);cop;Afro-Asiatic, Egyptian;Africa;Layton (2000: 178);No;DNA;DNA
Cuiba;cui;Guahiboan, Guahibo-Cuiva;South America;Kerr & Berg (2018: 264);No;DNA;DNA
Dakota;dak;Siouan, Core Siouan;North America-Mesoamerica;Boas & Delloria (1941: 156);No;DNA;DNA
Daga;dgz;Dagan, Daga;Australia-Papua New Guinea;Murane (1974: 229);No;DNA;DNA
Dazaga;dzg;Saharan, Western Saharan;Africa;Walters (2016: 180);No;DNA;DNA
Dieri;dif;Pama-Nyungan, Karnic;Australia-Papua New Guinea;Austin (1981: 208);No;DNA;DNA
Dime;dim;South Omotic, Dime;Africa;Seyoum (2008: 195);No;DNA;DNA
Duna;duc;Language isolate;Australia-Papua New Guinea;San Roque (2008: 255, 315);No;DNA;DNA
Eastern Armenian;hye;Indo-European, Armenic;Eurasia;Dum-Tragut (2009: 289);Yes;No;Yes
Eastern Kayah;eky;Sino-Tibetan, Karenic;Southeast Asia-Oceania;Solnit (1997: 227);No;DNA;DNA
Elamite;elx;Language isolate;Eurasia;Khačikjan (1998: 55);Yes;Yes;No
Ewe;ewe;Atlantic-Congo, Volta-Congo;Africa;Rongier (2004: 176-177);No;DNA;DNA
Fulniô;fun;Language isolate;South America;Lapenda (2005: 212);No;DNA;DNA
Fwe;fwe;Atlantic-Congo, Volta-Congo;Africa;Gunnink (2018: 187);No;DNA;DNA
Gaagudju;gbu;Language isolate;Australia-Papua New Guinea;Harvey (2002: 331);No;DNA;DNA
Goemai;abk;Afro-Asiatic, Chadic;Africa;Hellwig (2011: 169);No;DNA;DNA
Gooniyandi;gni;Bunaban, Gooniyandi;Australia-Papua New Guinea;McGregor (1990: 494, 530);No;DNA;DNA
Guragone;gge;Maningrida, Burera-Nakara;Australia-Papua New Guinea;Green (1995: 124);No;DNA;DNA
Gwich’in;gwi;Athabaskan-Eyak-Tlingit, Athabaskan-Eyak;North America-Mesoamerica;McDonald (1972 [1911]: 76);No;DNA;DNA
Halh Mongolian;khk;Mongolic-Khitan, Mongolic;Eurasia;Gaunt & Bayarmandakh (2004: 82);No;DNA;DNA
Halkomelem;hur;Salishan, Central Salish;North America-Mesoamerica;Suttles (2004: 124);No;DNA;DNA
Hatam;had;Hatam-Mansim, Hatam;Australia-Papua New Guinea;Reesink (1999: 109);No;DNA;DNA
Hawaiian;haw;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Pukui & Elbert (1986: 488);No;DNA;DNA
Highland Popoluca;poi;Mixe-Zoque, Zoque;North America-Mesoamerica;De Jong (2009: 920-921);Yes;Yes;No
Hills Karbi;mjw;Sino-Tibetan, Kuki-Chin-Naga;Southeast Asia-Oceania;Konnerth (2014: 563);No;DNA;DNA
Hokkaido Ainu;ain;Ainu, Hokkaido-Kuril Ainu;Eurasia;Refsing (1986: 163);No;DNA;DNA
Huambisa;hub;Chicham, Shuaric;South America;Peña (2015: 747);No;DNA;DNA
Huangascar-Topara-Yauyos Quechua;qux;Quechuan, Quechua I;South America;Shimelman (2017: 108);Yes;Yes;No
Huastec;hus;Mayan, Huastecan Mayan;North America-Mesoamerica;Edmonson (1988: 545);Yes;Yes;No
Hungarian;hun;Uralic, Hungarian;Eurasia;Bernini & Ramat (1996: 102);Yes;Yes;No
Hup;jup;Naduhup, Eastern Naduhup;South America;Epps (2008: 736-737);Yes;Yes;No
Hurrian;xhu;Hurro-Urartian, Hurrian;Eurasia;Wegner (2000: 162);No;DNA;DNA
Icelandic;isl;Indo-European, Germanic;Eurasia;Einarsson (1949: 175);Yes;Yes;No
Ik;ikx;Kuliak, Ik;Africa;Schrock (2014: 581);No;DNA;DNA
Indonesian;ind;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Sneddon (1996: 348);No;DNA;DNA
Ingush;inh;Nakh-Daghestanian, Nakh;Eurasia;Nichols (2011: 528);No;DNA;DNA
Iquito;iqu;Zaparoan, Iquito-Arabela;South America;Lai (2009: 208);Yes;Yes;Yes
Jamiltepec Mixtec;mxt;Otomanguean, Eastern Otomanguean;North America-Mesoamerica;Johnson (1988: 127);Yes;Yes;No
Japanese;jpn;Japonic, Japanesic;Eurasia;Kaiser et al. (2013: 323);Yes;Yes;No
Jaqaru;jqr;Aymaran, Tupe;South America;Hardman (2000: 82);No;DNA;DNA
Jebero;jeb;Cahuapanan, Jebero;South America;Valenzuela (2014: 46, 839-840);No;DNA;DNA
Jingulu;jig;Mirndi, Jingulu;Australia-Papua New Guinea;Pensalfini (1997: 201);No;DNA;DNA
Kabardian;kbd;Abkhaz-Adyghe, Circassian;Eurasia;Kumaxov (2003: 254);Yes;Yes;No
Kako;kkj;Atlantic-Congo, Volta-Congo;Africa;Ernst (1992: 151);No;DNA;DNA
Kakua;cbv;Kakua-Nukak, Kakua;South America;Bolaños (2016: 259);No;DNA;DNA
Kalaallisut;kal;Eskimo-Aleut, Eskimo;North America-Mesoamerica;Fortescue (1984: 124);Yes;No;Yes
Kamayurá;kay;Tupian, Maweti-Guarani;South America;Seki (2000: 238);No;DNA;DNA
Karaim;kdr;Turkic, Common Turkic;Eurasia;Musaev (2003: 164-165);Yes;Yes;No
Karamojong;kdj;Nilotic, Eastern Nilotic;Africa;Bader (2008: 120);Yes;Yes;No
Katcha-Kadugli-Miri;xtc;Kadugli-Krongo, Central-Western Kadugli-Krongo;Africa;Turner (2016: 212);No;DNA;DNA
Katukína-Kanamarí;knm;Katukinan, Katukína-Kanamarí;South America;Ishy de Magalhães (2018: 371);No;DNA;DNA
Kayardild;gyd;Tangkic, Southern Tangkic;Australia-Papua New Guinea;Evans (1995: 395);No;DNA;DNA
Kelabit;kzi;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Hemmings (2016: 610);No;DNA;DNA
Ket;ket;Yeniseian, Northern Yeniseian;Eurasia;Dul’zon (1968: 578);No;DNA;DNA
Kharia;khr;Austroasiatic, Mundaic;Eurasia;Peterson (2011: 341);Yes;Yes;No
Khasi;kha;Austroasiatic, Khasi-Palaung;Eurasia;Nagaraja (2014b: 1181);Yes;Yes;Yes
Kitja;gia;Jarrakan, Kija;Australia-Papua New Guinea;Kofod (1996: 121-126);No;DNA;DNA
Kilmeri;kih;Border, Bewani;Australia-Papua New Guinea;Gerstner-Link (2018: 571);No;DNA;DNA
Kiowa;kio;Kiowa-Tanoan, Kiowa;North America-Mesoamerica;Watkins (1984: 216);No;DNA;DNA
Koasati;cku;Muskogean, Alabaman-Koasati;North America-Mesoamerica;Kimball (1985: 172);No;DNA;DNA
Konai;kxw;East Strickland, Konai;Australia-Papua New Guinea;Årsjö (2016: 54);No;DNA;DNA
Korafe-Yegha;kpr;Nuclear Trans New Guinea, Greater Binanderean;Australia-Papua New Guinea;Farr (1999: 157);No;DNA;DNA
Korean;kor;Koreanic, Korean;Eurasia;Yeon & Brown (2013: 136);No;DNA;DNA
