LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
abun;language isolate;southeast asia-oceania;no;dna;dna
akajeru;great andamanese, north andamanese-akakede;southeast asia-oceania;no;dna;dna
alamblak;sepik, sepik hill;australia-papua new guinea;no;dna;dna
amarakaeri;harakmbut, amarakaeri;south america;no;dna;dna
amdo tibetan;sino-tibetan, bodic;southeast asia-oceania;no;dna;dna
//ani;khoe-kwadi, khoe;africa;no;dna;dna
anta-komnzo-wára-wérè-kémä;yam, morehead-maro;australia-papua new guinea;no;dna;dna
a’ou;tai-kadai, kadaic;southeast asia-oceania;no;dna;dna
apalaí;cariban, apalaí;south america;no;dna;dna
apinayé;nuclear-macro-je, je;south america;no;dna;dna
araweté;tupian, maweti-guarani;south america;no;dna;dna
arikapú;nuclear-macro-je, jabuti;south america;no;dna;dna
awa-cuaiquer;barbacoan, unclassified barbacoan;south america;no;dna;dna
ayoreo;zamucoan, zamuco-ayoreo;south america;no;dna;dna
bambara;mande, western mande;africa;no;dna;dna
bambassi;blue nile mao, bambassi;africa;no;dna;dna
bangime;language isolate;africa;no;dna;dna
bardi;nyulnyulan, western nyulnyulan;australia-papua new guinea;no;dna;dna
basque;language isolate;eurasia;yes;no;yes
bauzi;geelvink bay, bauzi;australia-papua new guinea;no;dna;dna
bilua;language isolate;southeast asia-oceania;no;dna;dna
bonan;mongolic-khitan, mongolic;southeast asia-oceania;no;dna;dna
bora;boran, bora;south america;no;dna;dna
bororo;bororoan, bororo-otuke;south america;no;dna;dna
brahui;dravidian, north dravidian;eurasia;yes;yes;no
bullom so;atlantic-congo, mel;africa;no;dna;dna
burmese;sino-tibetan, burmo-qiangic;southeast asia-oceania;no;dna;dna
burushaski (hunza, nagar);language isolate;eurasia;no;dna;dna
cao miao;tai-kadai, kam-tai;southeast asia-oceania;no;dna;dna
cavineña;pano-tacanan, tacanan;south america;no;dna;dna
central alaskan yupik;eskimo-aleut, eskimo;north america-mesoamerica;no;dna;dna
central kalapuya;kalapuyan, central kalapuya;north america-mesoamerica;no;dna;dna
central khmer;austroasiatic, khmeric;southeast asia-oceania;no;dna;dna
central nicobarese;austroasiatic, nicobaric;southeast asia-oceania;yes;yes;yes
central tunebo;chibchan, core chibchan;south america;no;dna;dna
chimariko;language isolate;north america-mesoamerica;no;dna;dna
chokwe;atlantic-congo, volta-congo;africa;no;dna;dna
chukchi;chukotko-kamchatkan;eurasia;no;dna;dna
comaltepec chinantec;otomanguean, western otomanguean;north america-mesoamerica;yes;yes;no
coptic (sahidic);afro-asiatic, egyptian;africa;no;dna;dna
cuiba;guahiboan, guahibo-cuiva;south america;no;dna;dna
dakota;siouan, core siouan;north america-mesoamerica;no;dna;dna
daga;dagan, daga;australia-papua new guinea;no;dna;dna
dazaga;saharan, western saharan;africa;no;dna;dna
dieri;pama-nyungan, karnic;australia-papua new guinea;no;dna;dna
dime;south omotic, dime;africa;no;dna;dna
duna;language isolate;australia-papua new guinea;no;dna;dna
eastern armenian;indo-european, armenic;eurasia;yes;no;yes
eastern kayah;sino-tibetan, karenic;southeast asia-oceania;no;dna;dna
elamite;language isolate;eurasia;yes;yes;no
ewe;atlantic-congo, volta-congo;africa;no;dna;dna
fulniô;language isolate;south america;no;dna;dna
fwe;atlantic-congo, volta-congo;africa;no;dna;dna
gaagudju;language isolate;australia-papua new guinea;no;dna;dna
goemai;afro-asiatic, chadic;africa;no;dna;dna
gooniyandi;bunaban, gooniyandi;australia-papua new guinea;no;dna;dna
guragone;maningrida, burera-nakara;australia-papua new guinea;no;dna;dna
gwich’in;athabaskan-eyak-tlingit, athabaskan-eyak;north america-mesoamerica;no;dna;dna
halh mongolian;mongolic-khitan, mongolic;eurasia;no;dna;dna
halkomelem;salishan, central salish;north america-mesoamerica;no;dna;dna
hatam;hatam-mansim, hatam;australia-papua new guinea;no;dna;dna
hawaiian;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
highland popoluca;mixe-zoque, zoque;north america-mesoamerica;yes;yes;no
hills karbi;sino-tibetan, kuki-chin-naga;southeast asia-oceania;no;dna;dna
hokkaido ainu;ainu, hokkaido-kuril ainu;eurasia;no;dna;dna
huambisa;chicham, shuaric;south america;no;dna;dna
huangascar-topara-yauyos quechua;quechuan, quechua i;south america;yes;yes;no
huastec;mayan, huastecan mayan;north america-mesoamerica;yes;yes;no
hungarian;uralic, hungarian;eurasia;yes;yes;no
hup;naduhup, eastern naduhup;south america;yes;yes;no
hurrian;hurro-urartian, hurrian;eurasia;no;dna;dna
icelandic;indo-european, germanic;eurasia;yes;yes;no
ik;kuliak, ik;africa;no;dna;dna
indonesian;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
ingush;nakh-daghestanian, nakh;eurasia;no;dna;dna
iquito;zaparoan, iquito-arabela;south america;yes;yes;yes
jamiltepec mixtec;otomanguean, eastern otomanguean;north america-mesoamerica;yes;yes;no
japanese;japonic, japanesic;eurasia;yes;yes;no
jaqaru;aymaran, tupe;south america;no;dna;dna
jebero;cahuapanan, jebero;south america;no;dna;dna
jingulu;mirndi, jingulu;australia-papua new guinea;no;dna;dna
kabardian;abkhaz-adyghe, circassian;eurasia;yes;yes;no
kako;atlantic-congo, volta-congo;africa;no;dna;dna
kakua;kakua-nukak, kakua;south america;no;dna;dna
kalaallisut;eskimo-aleut, eskimo;north america-mesoamerica;yes;no;yes
kamayurá;tupian, maweti-guarani;south america;no;dna;dna
